empnum,costcenterlv2,effectivedate
2845,Growth,2022-11-01
2845,Growth,
2846,"Governance, Risk & Compliance",2022-11-01
2846,Information Security,
2847,Administration,2022-11-01
2847,New Venture Operations,
2848,Blockchain,
2849,Product Management,2022-11-01
2849,Product,
2850,,
2851,Marketing,
2852,Exchange and Derivatives Tech,2022-11-01
2852,Tech,
2853,Marketing,2022-11-01
2853,Marketing,
2854,Global Business Solutions,
2855,Marketing,2022-11-01
2855,Marketing,
2856,IT Infrastructure & Operations,2022-11-01
2856,Information Security,
2857,Marketing,2023-01-16
2857,Creative,2022-11-01
2857,Creative,
2858,Legal,2022-11-01
2858,Legal,
2859,Information Security,
2860,Application Security,2022-11-01
2860,Information Security,
2861,Product QA,2022-11-01
2861,Product,
2862,Blockchain Security,2022-11-01
2862,Information Security,
2863,Main App Tech,2022-11-01
2863,Tech,
2864,,
2865,Customer Experience,2023-01-01
2865,Customer Experience,2022-11-01
2865,Customer Experience,
2866,Customer Experience,
2867,Customer Experience,2023-01-01
2867,Customer Experience,2022-11-01
2867,Customer Experience,
2868,Customer Experience,2023-01-01
2868,Customer Experience,2022-11-01
2868,Customer Experience,
2869,Customer Experience,2023-01-01
2869,Customer Experience,2022-11-01
2869,Customer Experience,
2870,Customer Experience,2023-01-01
2870,Customer Experience,2022-11-01
2870,Customer Experience,
2871,Customer Experience,
2872,Customer Experience,2023-01-01
2872,Customer Experience,2022-11-01
2872,Customer Experience,
2873,Risk Management,2023-01-01
2873,Risk Management,2022-11-01
2873,Risk Management,
2874,Customer Experience,2023-01-01
2874,Customer Experience,2022-11-01
2874,Customer Experience,
2875,KYC,2023-01-01
2875,KYC,2022-11-01
2875,KYC,
2876,Risk Management,2023-01-01
2876,Risk Management,2022-11-01
2876,Risk Management,
2877,Risk Management,2023-01-01
2877,Risk Management,2022-11-01
2877,Risk Management,
2878,Risk Management,
2879,Customer Experience,2023-01-01
2879,Customer Experience,2022-11-01
2879,Customer Experience,
2880,Customer Experience,2023-01-01
2880,Customer Experience,2022-11-01
2880,Customer Experience,
2881,,
2882,,
2883,Customer Experience,2023-01-01
2883,Customer Experience,2022-11-01
2883,Customer Experience,
2884,Customer Experience,
2885,Customer Experience,2023-01-01
2885,Customer Experience,2022-11-01
2885,Customer Experience,
2886,Customer Experience,2023-01-01
2886,Customer Experience,2022-11-01
2886,Customer Experience,
2887,Customer Experience,2023-01-01
2887,Customer Experience,2022-11-01
2887,Customer Experience,
2888,Customer Experience,
2889,Customer Experience,
2890,Customer Experience,
2891,,
2892,Customer Experience,
2893,Customer Experience,2023-01-01
2893,Customer Experience,2022-11-01
2893,Customer Experience,
2894,Regulatory Compliance,
2895,Strategy and Research,2022-11-01
2895,Strategy and Research,
2896,Derivative Research,2022-11-01
2896,Derivative Trading,
2897,CCO_Infrastructure Compliance,2022-11-01
2897,Compliance Operations,
2898,CCO_Infrastructure Compliance,2023-01-14
2898,CCO_Infrastructure Compliance,2022-11-01
2898,Compliance Operations,
2899,Others Tech,2022-11-01
2899,Tech,
2900,Data Intelligence,2022-11-01
2900,Data Intelligence,
2901,Finance and Accounting,2022-11-01
2901,Finance and Accounting,
2902,Finance and Accounting,
2903,Product QA,2022-11-01
2903,Product,
2904,Talent Acquisition,2022-11-01
2904,Human Resources,
2905,Data Intelligence,2022-11-01
2905,Data Intelligence,
2906,Product QA,2022-11-01
2906,Product,
2907,Strategy and Research,2022-11-01
2907,New Venture Operations,
2908,Blockchain,2022-11-01
2908,Blockchain,
2909,,
2910,Payments and Reconciliation,2023-01-01
2910,Payments and Reconciliation,2022-11-01
2910,Payments and Reconciliation,
2911,Human Resources,
2913,Human Resources,2022-11-01
2913,Human Resources,
2914,Exchange and Derivatives Tech,2022-11-01
2914,Tech,
2915,Information Security,
2916,Product,2022-08-16
2916,New Venture Operations,
2917,Product,
2918,Product Management,2022-11-01
2918,Product,
2919,Derivative Trading,2022-11-01
2919,Derivative Trading,
2920,"Governance, Risk & Compliance",2022-11-01
2920,Information Security,
2921,Regulatory Compliance,
2922,CCO_Program Management Compliance,2023-01-14
2922,CCO_Program Management Compliance,2022-11-01
2922,Regulatory Compliance,
2923,NFT,2023-02-01
2923,NFT,2022-11-01
2923,New Venture Operations,
2924,Main App Tech,2023-01-16
2924,Others Tech,2022-11-01
2924,Tech,
2925,Product,
2926,Product Management,2022-11-01
2926,Product,
2927,Information Security,
2928,Legal,
2929,Quant Trading,
2930,Quant Trading Desk Delta 1,2022-11-01
2930,Quant Trading,
2931,Others Tech,2022-11-01
2931,Tech,
2932,Main App Tech,2022-11-01
2932,Tech,
2933,Marketing,2022-11-01
2933,Marketing,
2934,Regulatory Compliance,
2935,Customer Experience,2023-01-01
2935,Customer Experience,2022-11-01
2935,Customer Experience,
2936,CCO_Infrastructure Compliance,2023-01-14
2936,CCO_Infrastructure Compliance,2022-11-01
2936,Compliance Operations,
2937,Legal,2022-11-01
2937,Legal,2022-06-14
2937,Regulatory Compliance,
2938,Marketing,2022-11-01
2938,Marketing,
2939,Main App Tech,2023-01-16
2939,Others Tech,2022-11-01
2939,Tech,
2940,Finance and Accounting,
2941,New Venture Operations,
2942,Quant Trading Desk Option,2022-11-01
2942,Quant Trading,
2943,Main App Tech,2022-11-01
2943,Tech,
2944,Others Tech,2022-11-01
2944,Tech,
2945,Others Tech,2022-11-01
2945,Tech,
2946,Finance and Accounting,2022-11-01
2946,Finance and Accounting,
2947,Exchange and Derivatives Tech,2022-11-01
2947,Tech,
2948,"Governance, Risk & Compliance",2022-11-01
2948,Information Security,
2949,,
2950,Derivative Trading,2022-11-01
2950,Derivative Trading,
2951,Advisory Compliance,
2952,Finance and Accounting,2022-11-01
2952,Finance and Accounting,
2953,Data Intelligence,2022-11-01
2953,Data Intelligence,
2954,,
2955,Data Intelligence,2022-11-01
2955,Data Intelligence,
2956,Product QA,2022-11-01
2956,Product,
2957,Others Tech,2022-11-01
2957,Tech,
2958,Human Resources,2022-11-01
2958,Human Resources,
2959,IT Infrastructure & Operations,2022-11-01
2959,Information Security,
2960,Global Business Solutions,
2961,Finance and Accounting,2022-11-01
2961,Finance and Accounting,
2962,Quant Trading Desk Quant,2022-11-01
2962,Quant Trading,
2963,Growth,
2964,Product Management,2022-11-01
2964,Product,
2965,Product,
2966,Product Management,2022-11-01
2966,Product,2022-09-01
2966,New Venture Operations,
2967,Product Management,2022-11-01
2967,Product,
2968,Main App Tech,2022-11-01
2968,Tech,
2969,Main App Tech,2022-11-01
2969,Tech,
2970,CCO_Infrastructure Compliance,2023-01-14
2970,CCO_Infrastructure Compliance,2022-11-01
2970,Compliance Operations,
2971,Payments and Reconciliation,2023-01-01
2971,Payments and Reconciliation,2022-11-01
2971,Payments and Reconciliation,
2972,CCO_Infrastructure Compliance,2023-01-14
2972,CCO_Infrastructure Compliance,2022-11-01
2972,Compliance Operations,
2973,Information Security,
2974,,
2975,Risk Management,
2976,Payments and Reconciliation,2023-01-01
2976,Payments and Reconciliation,2022-11-01
2976,Payments and Reconciliation,
2977,Risk Management,2023-01-01
2977,Risk Management,2022-11-01
2977,Risk Management,
2978,,
2979,Product,
2980,Tech,
2981,Legal,2022-11-01
2981,Legal,
2982,Marketing,
2983,Marketing,2022-11-01
2983,Marketing,
2984,Cronos,2022-11-01
2984,New Venture Operations,
2985,,
2986,Strategy and Research,2022-11-01
2986,New Venture Operations,
2987,Cronos,2022-11-01
2987,Blockchain,
2988,IT Infrastructure & Operations,2022-11-01
2988,Information Security,
2989,Finance and Accounting,2022-11-01
2989,Finance and Accounting,
2990,Data Intelligence,2022-11-01
2990,Data Intelligence,
2991,Product Management,2022-11-01
2991,Product,
2992,New Venture Operations,
2993,Legal,2022-11-01
2993,Legal,
2994,Product,
2995,Others Tech,2022-11-01
2995,Tech,
2996,Main App Tech,2022-11-01
2996,Tech,
2997,Others Tech,2022-11-01
2997,Tech,
2998,Risk Management,2023-01-01
2998,Risk Management,2022-11-01
2998,Risk Management,
2999,KYC,2023-01-01
2999,KYC,2022-11-01
2999,KYC,
3000,Customer Experience,2023-01-01
3000,Customer Experience,2022-11-01
3000,Customer Experience,
3001,Customer Experience,
3002,Payments and Reconciliation,2023-01-01
3002,Payments and Reconciliation,2022-11-01
3002,Payments and Reconciliation,
3003,Payments and Reconciliation,2023-01-01
3003,Payments and Reconciliation,2022-11-01
3003,Payments and Reconciliation,
3004,Customer Experience,
3005,,
3006,Customer Experience,
3007,,
3008,Customer Experience,
3009,,
3010,Customer Experience,2023-01-01
3010,Customer Experience,2022-11-01
3010,Customer Experience,
3011,Customer Experience,
3012,Customer Experience,
3013,Customer Experience,2023-01-01
3013,Customer Experience,2022-11-01
3013,Customer Experience,
3014,Customer Experience,2023-01-01
3014,Customer Experience,2022-11-01
3014,Customer Experience,
3015,Customer Experience,2023-01-01
3015,Customer Experience,2022-11-01
3015,Customer Experience,
3016,Customer Experience,2023-01-01
3016,Customer Experience,2022-11-01
3016,Customer Experience,
3017,Customer Experience,2023-01-01
3017,Customer Experience,2022-11-01
3017,Customer Experience,
3018,Customer Experience,2023-01-01
3018,Customer Experience,2022-11-01
3018,Customer Experience,
3019,Customer Experience,2023-01-01
3019,Customer Experience,2022-11-01
3019,Customer Experience,
3020,Customer Experience,
3021,Others Tech,2022-11-01
3021,Tech,
3022,Others Tech,2022-11-01
3022,Tech,
3023,Human Resources,2022-11-01
3023,Human Resources,
3024,Cronos,2022-11-01
3025,IT Infrastructure & Operations,2022-11-01
3025,Information Security,
3026,Derivative Research,2022-11-01
3026,Derivative Trading,
3027,Customer Experience,2023-01-01
3027,Customer Experience,2022-11-01
3027,Customer Experience,
3028,Customer Experience,2023-01-01
3028,Customer Experience,2022-11-01
3028,Customer Experience,
3029,Customer Experience,2023-01-01
3029,Customer Experience,2022-11-01
3029,Customer Experience,
3030,Customer Experience,
3031,Customer Experience,2023-01-01
3031,Customer Experience,2022-11-01
3031,Customer Experience,
3032,,
3033,Customer Experience,2023-01-01
3033,Customer Experience,2022-11-01
3033,Customer Experience,
3034,Customer Experience,2023-01-01
3034,Customer Experience,2022-11-01
3034,Customer Experience,
3035,Customer Experience,
3036,Customer Experience,2023-01-01
3036,Customer Experience,2022-11-01
3036,Customer Experience,
3037,Customer Experience,2023-01-01
3037,Customer Experience,2022-11-01
3037,Customer Experience,
3038,,
3039,Customer Experience,
3040,Customer Experience,2023-01-01
3040,Customer Experience,2022-11-01
3040,Customer Experience,
3041,Customer Experience,2023-01-01
3041,Customer Experience,2022-11-01
3041,Customer Experience,
3042,Customer Experience,
3043,Customer Experience,2023-01-01
3043,Customer Experience,2022-11-01
3043,Customer Experience,
3044,Customer Experience,
3045,Customer Experience,
3046,Customer Experience,2023-01-01
3046,Customer Experience,2022-11-01
3046,Customer Experience,
3047,Customer Experience,2023-01-01
3047,Customer Experience,2022-11-01
3047,Customer Experience,
3048,Customer Experience,
3049,Customer Experience,2023-01-01
3049,Customer Experience,2022-11-01
3049,Customer Experience,
3050,Customer Experience,2023-01-01
3050,Customer Experience,2022-11-01
3050,Customer Experience,
3051,Customer Experience,2023-01-01
3051,Customer Experience,2022-11-01
3051,Customer Experience,
3052,Customer Experience,
3053,Customer Experience,
3054,Customer Experience,2023-01-01
3054,Customer Experience,2022-11-01
3054,Customer Experience,
3055,Customer Experience,2023-01-01
3055,Customer Experience,2022-11-01
3055,Customer Experience,
3056,Customer Experience,
3057,Customer Experience,2023-01-01
3057,Customer Experience,2022-11-01
3057,Customer Experience,
3058,Finance and Accounting,2022-11-01
3058,Finance and Accounting,
3059,Human Resources,2022-11-01
3059,Human Resources,
3060,Community Management Department,
3061,Tech,
3062,IT Infrastructure & Operations,2022-11-01
3062,Information Security,
3063,IT Infrastructure & Operations,2022-11-01
3063,Information Security,
3064,Expansion/GBS,2023-01-01
3064,"Executive, General Manager and Others",
3065,Risk Management,2023-01-01
3065,Risk Management,2022-11-01
3065,Risk Management,
3066,Risk Management,2023-01-01
3066,Risk Management,2022-11-01
3066,Risk Management,
3067,Risk Management,2023-01-01
3067,Risk Management,2022-11-01
3067,Risk Management,
3068,Others Tech,2022-11-01
3068,Tech,
3069,Product Management,2022-11-01
3069,Product,
3070,Others Tech,2022-11-01
3070,Tech,
3071,IT Infrastructure & Operations,2022-11-01
3071,Information Security,
3072,Product Management,2022-11-01
3072,Product,2022-08-01
3072,New Venture Operations,
3073,Marketing,2022-11-01
3073,Marketing,
3074,Creative,2022-11-01
3074,Creative,
3075,Finance and Accounting,2022-11-01
3075,Finance and Accounting,
3076,Others Tech,2022-11-01
3076,Tech,
3077,Main App Tech,2022-11-01
3077,Tech,
3078,Product Management,2022-11-01
3078,Product,
3079,New Venture Operations,
3080,Customer Experience,2023-01-17
3080,Community Management,2022-11-01
3080,Community Management Department,
3081,Quant Trading,
3082,Others Tech,2022-11-01
3082,Tech,
3083,,
3084,Finance and Accounting,
3085,Exchange and Derivatives Tech,2022-11-01
3085,Tech,
3086,Administration,
3087,Marketing,
3088,CCO_Infrastructure Compliance,2023-01-14
3088,CCO_Infrastructure Compliance,2022-11-01
3088,Compliance Operations,
3089,Compliance Operations,
3090,Information Security,
3091,Expansion/GBS,2022-11-01
3091,Global Business Solutions,
3092,Others Tech,2022-11-01
3092,Tech,
3093,,
3094,Product Management,2022-11-01
3094,Product,
3095,Information Security,
3096,Growth,2022-11-01
3096,Growth,
3097,Information Security,
3098,Quant Trading Desk Flow,2022-11-01
3098,Quant Trading,
3099,Exchange and Derivatives Tech,2022-11-01
3099,Tech,
3100,Finance and Accounting,2022-11-01
3100,Finance and Accounting,
3101,Risk Management,
3102,Institutional Sales,2022-11-01
3102,Institutional Sales and Account Management,
3103,Tech,
3104,Marketing,2022-11-01
3104,Marketing,
3105,Information Security,
3106,Legal,
3107,Creative,
3108,Legal,2022-11-01
3108,Legal,
3109,Finance and Accounting,
3110,Finance and Accounting,2022-11-01
3110,Finance and Accounting,
3111,Finance and Accounting,
3112,Information Security,
3113,Information Security,
3114,,
3115,Information Security,
3116,Quant Trading,
3117,Product,
3118,Marketing,2023-01-16
3118,Creative,2022-11-01
3118,Creative,
3119,Marketing,2023-01-16
3119,Growth,2022-11-01
3119,Growth,
3120,Legal,2022-11-01
3120,Legal,
3121,Others Tech,2022-11-01
3121,Tech,
3122,Information Security,
3123,Exchange and Derivatives Tech,2022-11-01
3123,Tech,
3124,Exchange and Derivatives Tech,2022-11-01
3124,Tech,
3125,Exchange and Derivatives Tech,2022-11-01
3125,Tech,
3126,KYC,
3127,KYC,
3128,Customer Experience,2023-01-01
3128,Customer Experience,2022-11-01
3128,Customer Experience,
3129,Customer Experience,
3130,Customer Experience,2023-01-01
3130,Customer Experience,2022-11-01
3130,Customer Experience,
3131,,
3132,Customer Experience,2023-01-01
3132,Customer Experience,2022-11-01
3132,Customer Experience,
3133,Customer Experience,
3134,Customer Experience,2023-01-01
3134,Customer Experience,2022-11-01
3134,Customer Experience,
3135,Customer Experience,
3136,Customer Experience,
3137,Customer Experience,2023-01-01
3137,Customer Experience,2022-11-01
3137,Customer Experience,
3138,Customer Experience,
3139,Customer Experience,
3140,Customer Experience,
3141,Customer Experience,
3142,Customer Experience,2023-01-01
3142,Customer Experience,2022-11-01
3142,Customer Experience,
3143,Customer Experience,
3144,Main App Tech,2023-01-16
3144,Others Tech,2022-11-01
3144,Tech,
3145,Product,
3146,Defi Wallet Tech,2022-11-01
3146,Tech,
3147,Customer Experience,2023-01-01
3147,Customer Experience,2022-11-01
3147,Customer Experience,
3148,Customer Experience,
3149,Customer Experience,2023-01-01
3149,Customer Experience,2022-11-01
3149,Customer Experience,
3150,Customer Experience,2023-01-01
3150,Customer Experience,2022-11-01
3150,Customer Experience,
3151,Customer Experience,2023-01-01
3151,Customer Experience,2022-11-01
3151,Customer Experience,
3152,Customer Experience,
3153,Customer Experience,2023-01-01
3153,Customer Experience,2022-11-01
3153,Customer Experience,
3154,Customer Experience,2023-01-01
3154,Customer Experience,2022-11-01
3154,Customer Experience,
3155,Customer Experience,
3156,Customer Experience,2023-01-01
3156,Customer Experience,2022-11-01
3156,Customer Experience,
3157,,
3158,Customer Experience,
3159,Customer Experience,
3160,Customer Experience,2023-01-01
3160,Customer Experience,2022-11-01
3160,Customer Experience,
3161,Customer Experience,
3162,Customer Experience,2022-11-01
3162,Customer Experience,
3163,Customer Experience,
3164,Customer Experience,
3165,Customer Experience,2023-01-01
3165,Customer Experience,2022-11-01
3165,Customer Experience,
3166,Customer Experience,2023-01-01
3166,Customer Experience,2022-11-01
3166,Customer Experience,
3167,Customer Experience,
3168,KYC,
3169,Customer Experience,
3170,Customer Experience,2023-01-01
3170,Customer Experience,2022-11-01
3170,Customer Experience,
3171,Customer Experience,
3172,Customer Experience,
3173,,
3174,Customer Experience,
3175,,
3176,,
3177,,
3178,Customer Experience,
3179,Customer Experience,
3180,KYC,
3181,Risk Management,2022-11-01
3181,Risk Management,
3182,Risk Management,2023-01-01
3182,Risk Management,2022-11-01
3182,Risk Management,
3183,Product Management,2022-11-01
3183,Product,
3184,,
3185,Marketing,
3186,Strategy and Research,2022-11-01
3186,New Venture Operations,
3187,Main App Tech,2023-01-16
3187,Others Tech,2022-11-01
3187,Tech,
3188,CCO_Local Market Compliance,2022-11-01
3188,Regulatory Compliance,
3189,CCO_Program Management Compliance,2022-11-01
3189,Regulatory Compliance,
3190,Information Security,
3191,Human Resources,2022-11-01
3191,Human Resources,
3192,Marketing,2023-01-16
3192,Partnerships,2022-11-01
3192,Partnerships,
3193,Product Management,2022-11-01
3193,Product,
3194,Product Management,2022-11-01
3194,Product,
3195,Product,
3196,Cronos,2022-11-01
3196,New Venture Operations,
3197,Tech,
3198,Defi Wallet Tech,2022-11-01
3198,Tech,
3199,Cronos,2022-11-01
3199,New Venture Operations,
3200,,
3201,Information Security,
3202,Exchange and Derivatives Tech,2022-11-01
3202,Tech,
3203,Data Proetction & Privacy,2022-11-01
3203,Information Security,
3204,CCO_Program Management Compliance,2023-01-14
3204,CCO_Program Management Compliance,2022-11-01
3204,Compliance Operations,
3205,CCO_Infrastructure Compliance,2023-01-14
3205,CCO_Infrastructure Compliance,2022-11-01
3205,Compliance Operations,
3206,CCO_Infrastructure Compliance,2023-01-14
3206,CCO_Infrastructure Compliance,2022-11-01
3206,Compliance Operations,
3207,CCO_Infrastructure Compliance,2023-01-14
3207,CCO_Infrastructure Compliance,2022-11-01
3207,Compliance Program Management,
3208,Compliance Program Management,
3209,Risk Management,
3210,CCO_Infrastructure Compliance,2023-01-14
3210,CCO_Infrastructure Compliance,2022-11-01
3210,Compliance Operations,
3211,Risk Management,2023-01-01
3211,Risk Management,2022-11-01
3211,Risk Management,
3212,Data Proetction & Privacy,2022-11-01
3212,Information Security,
3213,CCO_Local Market Compliance,2022-11-01
3213,Regulatory Compliance,
3214,Tech,
3215,Information Security,
3216,Human Resources,
3217,Main App Tech,2022-11-01
3217,Tech,2022-09-01
3217,New Venture Operations,
3218,Derivative Trading,2022-11-01
3218,Derivative Trading,
3219,Communications,2022-11-01
3219,Communications,
3220,Customer Experience,
3221,Partnerships,2022-11-01
3221,Partnerships,
3222,Others Tech,2022-11-01
3222,Tech,
3223,Cronos,2023-01-01
3223,NFT,2022-11-01
3223,New Venture Operations,2021-12-13
3224,Quant Trading Desk Quant,2022-11-01
3224,Quant Trading,
3225,Exchange and Derivatives Tech,2022-11-01
3225,Tech,
3226,IT Infrastructure & Operations,2022-11-01
3226,Information Security,
3227,Blockchain,
3228,Payments and Reconciliation,2023-01-01
3228,Payments and Reconciliation,2022-11-01
3228,Payments and Reconciliation,
3229,Payments and Reconciliation,
3230,Payments and Reconciliation,2023-01-01
3230,Payments and Reconciliation,2022-11-01
3230,Payments and Reconciliation,
3231,CCO_Infrastructure Compliance,2023-01-14
3231,CCO_Infrastructure Compliance,2022-11-01
3231,Compliance Operations,
3232,Payments and Reconciliation,2023-01-01
3232,Payments and Reconciliation,2022-11-01
3232,Payments and Reconciliation,
3233,Institutional Sales and Account Management,
3234,"Governance, Risk & Compliance",2022-11-01
3234,Information Security,
3235,Payments and Reconciliation,2023-01-01
3235,Payments and Reconciliation,2022-11-01
3235,Payments and Reconciliation,
3236,CCO_Infrastructure Compliance,2023-01-14
3236,CCO_Infrastructure Compliance,2022-11-01
3236,Compliance Operations,
3237,,
3238,Compliance Operations,
3239,Cybersecurity Services & Incident Response,2022-11-01
3239,Information Security,
3240,Quant Trading Desk Quant,2022-11-01
3240,Quant Trading,
3241,Product Management,2022-11-01
3241,Product,
3242,Product QA,2022-11-01
3242,Product,
3243,Creative,2022-11-01
3243,Creative,
3244,Blockchain Security,2022-11-01
3244,Information Security,
3245,IT Infrastructure & Operations,2022-11-01
3245,Information Security,
3246,Main App Tech,2023-01-16
3246,Others Tech,2022-11-01
3246,Tech,
3247,Others Tech,2022-11-01
3247,Tech,
3248,Product,
3249,Blockchain,
3250,Main App Tech,2023-01-16
3250,Others Tech,2022-11-01
3250,Tech,
3251,Others Tech,2022-11-01
3251,Tech,
3252,Tech,
3253,Exchange and Derivatives Tech,2022-11-01
3253,Tech,
3254,Exchange and Derivatives Tech,2022-11-01
3254,Tech,
3255,Product Management,2022-11-01
3255,Product,
3256,Legal,2022-11-01
3256,Legal,
3257,Marketing,2023-01-16
3257,Creative,2022-11-01
3257,Creative,
3258,Finance and Accounting,2022-11-01
3258,Finance and Accounting,
3259,Product Management,2022-11-01
3259,Product,
3260,IT Infrastructure & Operations,2022-11-01
3260,Information Security,
3261,Customer Experience,2023-01-01
3261,Customer Experience,2022-11-01
3261,Customer Experience,
3262,Marketing,2023-01-16
3262,Creative,2022-11-01
3262,Creative,
3263,Finance and Accounting,2022-11-01
3263,Finance and Accounting,
3264,Product Management,2022-11-01
3264,Product,
3265,Others Tech,2022-11-01
3265,Tech,
3266,Growth,2022-08-16
3266,Marketing,
3267,Product,
3268,New Venture Operations,
3269,Product Management,2022-11-01
3269,Product,
3270,Others Tech,2022-11-01
3270,Tech,
3271,Finance and Accounting,2022-11-01
3271,Finance and Accounting,
3272,Legal,2022-11-01
3272,Legal,
3273,New Venture Operations,
3274,Exchange and Derivatives Tech,2022-11-01
3274,Tech,
3275,Finance and Accounting,
3276,Product Management,2022-11-01
3276,Product,
3277,Product QA,2022-11-01
3277,Product,
3278,Marketing,
3279,Communications,2022-11-01
3279,Communications,
3280,Expansion/GBS,2022-11-01
3280,Global Business Solutions,
3281,Marketing,2023-01-16
3281,Growth,2022-11-01
3281,Growth,
3282,Tech,
3283,Legal,2022-11-01
3283,Legal,
3284,CCO_Local Market Compliance,2022-11-01
3284,Regulatory Compliance,
3285,Defi Wallet Tech,2022-11-01
3285,Tech,
3286,Tech,
3287,Others Tech,2022-11-01
3287,Tech,
3288,CCO_Local Market Compliance,2022-11-01
3288,Regulatory Compliance,
3289,Regulatory Compliance,
3290,Quant Trading,
3291,Creative,
3292,Marketing,2023-01-16
3292,Creative,2022-11-01
3292,Creative,
3293,Product Management,2022-11-01
3293,Product,
3294,Product Management,2022-11-01
3294,Product,2022-09-01
3294,Global Business Solutions,
3295,Application Security,2022-11-01
3295,Information Security,
3296,Information Security,
3297,Cybersecurity Services & Incident Response,2022-11-01
3297,Information Security,
3298,CCO_Local Market Compliance,2022-11-01
3298,Regulatory Compliance,
3299,Marketing,2023-01-16
3299,Growth,2022-11-01
3299,Growth,
3300,Institutional Sales,2022-11-01
3300,Institutional Sales and Account Management,
3301,Strategy and Research,
3302,Product Management,2022-11-01
3302,Product,
3303,CCO_Local Market Compliance,2022-11-01
3303,Regulatory Compliance,
3304,Cronos,2022-11-01
3304,Product,2022-01-17
3305,Marketing,
3306,Marketing,
3307,"Governance, Risk & Compliance",2022-11-01
3307,Information Security,
3308,NFT,2022-11-01
3308,New Venture Operations,
3309,Marketing,
3310,Information Security,
3311,Product Management,2022-11-01
3311,Product,2022-09-01
3311,New Venture Operations,
3312,Exchange and Derivatives Tech,2022-11-01
3312,Tech,
3313,Exchange and Derivatives Tech,2022-11-01
3313,Tech,
3314,Product Management,2022-11-01
3314,Product,
3315,NFT Tech,2023-01-14
3315,NFT Tech,2022-11-01
3315,New Venture Operations,
3316,NFT Tech,2022-11-01
3316,New Venture Operations,
3317,Strategy and Research,2022-11-01
3317,New Venture Operations,
3318,"Governance, Risk & Compliance",2022-11-01
3318,Information Security,
3319,Information Security,
3320,IT Infrastructure & Operations,2022-11-01
3320,Information Security,
3321,Growth,
3322,Legal,2022-11-01
3322,Legal,
3323,Product QA,2022-11-01
3323,Product,
3324,Finance and Accounting,2022-11-01
3324,Finance and Accounting,
3325,Finance and Accounting,
3326,Finance and Accounting,2022-11-01
3326,Finance and Accounting,
3327,,
3328,Product Management,2022-11-01
3328,Product,
3329,Institutional Sales,2022-11-01
3329,Institutional Sales and Account Management,
3330,Product Management,2022-11-01
3330,Product,
3331,Others Tech,2022-11-01
3331,Tech,
3332,Blockchain Security,2022-11-01
3332,Information Security,
3333,,
3334,Community Management Department,
3335,Payments and Reconciliation,2023-01-01
3335,Payments and Reconciliation,2022-11-01
3335,Payments and Reconciliation,
3336,Payments and Reconciliation,2023-01-01
3336,Payments and Reconciliation,2022-11-01
3336,Payments and Reconciliation,
3337,Payments and Reconciliation,2023-01-01
3337,Payments and Reconciliation,2022-11-01
3337,Payments and Reconciliation,
3338,Customer Experience,2023-01-01
3338,Customer Experience,2022-11-01
3338,Customer Experience,
3339,Payments and Reconciliation,
3340,Human Resources,
3341,Customer Experience,2023-01-01
3341,Customer Experience,2022-11-01
3341,Customer Experience,
3342,Talent Acquisition,2023-01-17
3342,Talent Acquisition,2022-11-01
3342,Human Resources,
3343,Marketing,2022-11-01
3343,Marketing,
3344,Exchange and Derivatives Tech,2022-11-01
3344,Tech,
3345,Information Security,
3346,CCO_Local Market Compliance,2022-11-01
3346,Regulatory Compliance,
3347,Blockchain,2022-11-01
3347,Blockchain,
3348,Product QA,2022-11-01
3348,Product,
3349,Finance and Accounting,2022-11-01
3350,Finance and Accounting,
3351,Finance and Accounting,2022-11-01
3351,Finance and Accounting,
3352,Quant Trading Desk Delta 1,2022-11-01
3352,Quant Trading,
3353,Information Security,
3354,CCO_Local Market Compliance,2022-11-01
3354,Regulatory Compliance,
3355,Legal,2022-11-01
3355,Legal,
3356,Product Management,2022-11-01
3356,Product,
3357,IT Infrastructure & Operations,2022-11-01
3357,Information Security,
3358,New Venture Operations,
3359,Others Tech,2022-11-01
3359,Tech,
3360,Others Tech,2022-11-01
3360,Tech,
3361,Quant Trading Desk Flow,2023-02-07
3361,Quant Trading Desk Flow,2022-11-01
3361,Quant Trading,
3362,Others Tech,2022-11-01
3362,Tech,
3363,Cronos,2022-11-01
3363,Tech,
3364,Growth,
3365,Defi Wallet Tech,2022-11-01
3365,Tech,
3366,Defi Wallet Tech,2022-11-01
3366,Tech,
3367,,
3368,Legal,2022-11-01
3368,Legal,
3369,Marketing,
3370,Customer Experience,
3371,,
3372,Finance and Accounting,2022-11-01
3372,Finance and Accounting,
3373,,
3374,Finance and Accounting,
3375,Product,
3376,Information Security,
3377,Data Proetction & Privacy,2022-11-01
3377,Information Security,
3378,Tech,
3379,,
3380,Risk Management,
3381,KYC,
3382,KYC,
3383,KYC,
3384,KYC,
3385,KYC,
3386,KYC,
3387,Customer Experience,2023-01-01
3387,Customer Experience,2022-11-01
3387,Customer Experience,
3388,Customer Experience,
3389,Customer Experience,2023-01-01
3389,Customer Experience,2022-11-01
3389,Customer Experience,
3390,Customer Experience,2023-01-01
3390,Customer Experience,2022-11-01
3390,Customer Experience,
3391,,
3392,Customer Experience,
3393,Customer Experience,
3394,Customer Experience,
3395,Customer Experience,
3396,Customer Experience,
3397,Customer Experience,
3398,Customer Experience,
3399,Customer Experience,
3400,Customer Experience,
